Voltage U1	Current IA	Temperature Tact	Voltage U2	Voltage UH
U1/V	IA/nA	Tact/°C	U2/V	UH/V

17.58	0.70	195	2.0	6.3
17.60	0.67	195	2.0	6.3
17.63	0.64	195	2.0	6.3
17.65	0.62	195	2.0	6.3
17.68	0.59	195	2.0	6.3
17.70	0.59	195	2.0	6.3
17.72	0.56	195	2.0	6.3
17.75	0.53	195	2.0	6.3
17.77	0.48	195	2.0	6.3
17.80	0.47	195	2.0	6.3
17.82	0.42	195	2.0	6.3
17.85	0.40	195	2.0	6.3
17.87	0.39	195	2.0	6.3
17.89	0.40	195	2.0	6.3
17.92	0.38	195	2.0	6.3
17.94	0.36	195	2.0	6.3
17.97	0.34	195	2.0	6.3
17.99	0.33	195	2.0	6.3
18.02	0.31	195	2.0	6.3
18.04	0.29	195	2.0	6.3
18.07	0.28	195	2.0	6.3
18.09	0.27	195	2.0	6.3
18.11	0.26	195	2.0	6.3
18.14	0.25	195	2.0	6.3
18.16	0.25	195	2.0	6.3
18.19	0.26	195	2.0	6.3
18.21	0.24	195	2.0	6.3
18.24	0.22	195	2.0	6.3
18.26	0.19	195	2.0	6.3
18.29	0.17	195	2.0	6.3
18.31	0.14	195	2.0	6.3
18.33	0.12	195	2.0	6.3
18.36	0.12	195	2.0	6.3
18.38	0.15	195	2.0	6.3
18.41	0.14	195	2.0	6.3
18.43	0.13	195	2.0	6.3
18.46	0.13	195	2.0	6.3
18.48	0.13	195	2.0	6.3
